1,駐,駐車,ちゅうしゃ,পার্কিং,1
2,駐,駐車場,ちゅうしゃじょう,পার্কিং লট,1
3,無,無休,むきゅう,ছুটিহীন / প্রতিদিন খোলা,2
4,無,無料,むりょう,বিনামূল্যে,2
5,無,無理な,むりな,অযৌক্তিক / অসম্ভব,2
6,無,無い,ない,নেই / না থাকা,2
7,満,満車,まんしゃ,গাড়িতে পূর্ণ,3
8,満,満員,まんいん,মানুষে পূর্ণ,3
9,満,不満な,ふまんな,অসন্তুষ্ট,3
10,向,方向,ほうこう,দিক,4
11,向,向こう,むこう,ওদিকে / ওপারে,4
12,向,向かう,むかう,এগিয়ে যাওয়া / অভিমুখে যাওয়া,4
13,向,〇〇向き,〇〇むき,〇〇-এর জন্য উপযুক্ত,4
14,禁,禁止,きんし,নিষেধ,5
15,関,関心,かんしん,আগ্রহ,6
16,関,関する,かんする,সম্পর্কিত হওয়া,6
17,係,関係,かんけい,সম্পর্ক / সংযোগ,7
18,係,係,かかり,দায়িত্বপ্রাপ্ত ব্যক্তি,7
19,断,無断,むだん,অনুমতি ছাড়া,8
20,断,断水,だんすい,পানি সরবরাহ বন্ধ,8
21,断,断る,ことわる,প্রত্যাখ্যান করা,8
22,横,横断,おうだん,পারাপার,9
23,横,横断歩道,おうだんほどう,পথচারী পারাপারের রাস্তা,9
24,横,横,よこ,পাশ,9
25,押,押す,おす,ঠেলা দেওয়া / চাপ দেওয়া,10
26,押,押さえる,おさえん,চেপে ধরা,10
27,押,押し入れ,おしいれ,স্লাইডিং দরজার আলমারি,10
28,押,押しボタン式,おしボタンしき,বোতাম চাপার পদ্ধতি,10
29,式,入学式,にゅうがくしき,ভর্তি অনুষ্ঠান,11
30,式,数式,すうしき,গাণিতিক সূত্র,11
31,信,送信,そうしん,প্রেরণ,12
32,信,信じる,しんじる,বিশ্বাস করা,12
33,信,自信,じしん,আত্মবিশ্বাস,12
34,信,信用,しんよう,বিশ্বাস,12
35,号,信号,しんごう,সংকেত / ট্রাফিক বাতি,13
36,号,～号車,～ごうしゃ,... নম্বর বগি,13
37,確,正確な,せいかくな,সঠিক / নির্ভুল,14
38,確,確かな,たしかな,নিশ্চিত,14
39,確,確かめる,たしかめる,নিশ্চিত করা / যাচাই করা,14
40,認,確認,かくにん,নিশ্চিতকরণ / যাচাই,15
41,認,認める,みとめる,স্বীকার করা / অনুমোদন করা,15
42,飛,飛行場,ひこうじょう,বিমানবন্দর,16
43,飛,飛ぶ,とぶ,উড়া,16
44,非,非常の,ひじょうの,জরুরি,17
45,非,非常に,ひじょうに,অত্যন্ত,17
46,非,非常口,ひじょぐち,জরুরি বহির্গমন পথ,17
47,常,日常の,にちじょうの,দৈনন্দিন / সাধারণ,18
48,常,正常な,せいじょうな,স্বাভাবিক,18
49,階,～階,～かい,... তলা,19
50,段,階段,かいだん,সিঁড়ি,20
51,箱,箱,はこ,বাক্স,21
52,箱,ごみ箱,ごみばこ,আবর্জনার বাক্স,21
53,危,危険な,きけんな,বিপজ্জনক,22
54,危,危ない,あぶない,বিপজ্জনক,22
55,険,危険な,きけんな,বিপদজনক,23
56,捨,捨てる,すてる,ফেলে দেওয়া,24
57,線,線,せん,রেখা,25
58,線,～番線,～ばんせん,... নম্বর প্ল্যাটফর্ম,25
59,面,全面,ぜんめん,সম্পূর্ণ অংশ / সমগ্র,26
60,面,画面,がめん,পর্দা / স্ক্রিন,26
61,面,〇〇方面,〇〇ほうめん,〇〇 এলাকার দিকে,26
62,普,普通の,ふつうの,সাধারণ,27
63,各,各駅,かくえき,প্রতিটি স্টেশন,28
64,各,各国,かっこく,প্রতিটি দেশ,28
65,各,各自,かくじ,প্রত্যেকে / নিজ নিজ,28
66,次,目次,もくじ,সূচিপত্র,29
67,次,次回,じかい,পরের বার,29
68,次,次,つぎ,পরবর্তী,29
69,快,快速,かいそく,দ্রুতগামী ট্রেন,30
70,速,高速道路,こうそくどうろ,দ্রুতগতির মহাসড়ক,31
71,速,速度,そくど,গতি,31
72,速,速い,はやい,দ্রুত,31
73,過,通過,つうか,অতিক্রম / পারাপার,32
74,過,過去,かこ,অতীত,32
75,過,過ぎる,すぎる,অতিক্রম করা,32
76,鉄,地下鉄,ちかてつ,পাতাল রেল,33
77,鉄,鉄道,てつどう,রেলপথ,33
78,鉄,鉄,てつ,লোহা,33
79,指,指定,してい,নির্ধারণ / নির্দিষ্টকরণ,34
80,指,指定席,していせき,সংরক্ষিত আসন,34
81,指,指,ゆび,আঙুল,34
82,指,指輪,ゆびわ,আংটি,34
83,定,定休日,ていきゅうび,নির্ধারিত ছুটির দিন,35
84,定,安定,あんてい,স্থিতিশীলতা,35
85,席,席,せき,আসন,36
86,席,出席,しゅっせき,উপস্থিতি,36
87,席,欠席,けっせき,অনুপস্থিতি,36
88,由,自由な,じゆうな,স্বাধীন,37
89,由,自由席,ひゆうせき,অনির্ধারিত আসন,37
90,由,理由,りゆう,কারণ,37
91,番,番号,ばんごう,নম্বর,38
92,番,～番,～ばん,... নম্বর,38
93,番,～番線,～ばんせん,... নম্বর প্ল্যাটফর্ম,38
94,窓,窓,まど,জানালা,39
95,窓,窓口,まどぐち,কাউন্টার,39
96,側,両側,りょうがわ,উভয় পাশ,40
97,側,窓側,まどがわ,জানালার পাশ,40
98,側,右側,みぎがわ,ডান পাশ,40
99,路,通路,つうろ,চলাচলের পথ,41
100,路,道路,どうろ,রাস্তা,41
101,路,線路,せんろ,রেললাইন,41
102,亭,停車,ていしゃ,যানবাহন থামানো,42
103,亭,バス亭,バスてい,বাসস্টপ,42
104,整,整理,せいり,গুছানো / বিন্যাস,43
105,整,整理券,せいりけん,ক্রম নির্দেশক টিকিট,43
106,券,駐車券,ちゅしゃけん,পার্কিং টিকিট,44
107,券,乗車券,じゅしゃけん,যাত্রার টিকিট,44
108,券,回数券,かいすうけん,একাধিক যাত্রার টিকিট,44
109,現,現金,げんきん,নগদ টাকা,45
110,現,表現,ひょうげん,প্রকাশভঙ্গি,45
111,現,現れる,あらわれる,আবির্ভূত হওয়া,45
112,両,両親,りょうしん,বাবা-মা,46
113,両,～両,～りょう,...টি বগি,46
114,替,取り替える,とりかえる,বদলে দেওয়া,47
115,替,両替,りょうがえ,মুদ্রা বিনিময়,47
116,替,着替える,きがえる,পোশাক পরিবর্তন করা,47
117,優,優先席,ゆうせんせき,অগ্রাধিকার আসন,48
118,優,俳優,はいゆう,অভিনেতা,48
119,優,優しい,やさしい,দয়ালু,48
120,座,座席,ざせき,আসন,49
121,座,正座,せいざ,জাপানি ভঙ্গিতে মেঝেতে বসা,49
122,座,座る,すわる,বসা,49
123,降,降車口,こうしゃぐち,নামার দরজা,50
124,降,以降,いこう,এর পর থেকে,50
125,降,降りる,おりる,নামা,50
126,降,降る,ふる,পড়া,50
127,準,準備,じゅんび,প্রস্তুতি,51
128,備,準備,じゅんび,প্রস্তুতি,52
129,備,備える,そなえる,প্রস্তুত করা,52
130,営,営業,えいぎょう,ব্যবসা / কার্যক্রম,53
131,閉,開閉,かいへい,খোলা ও বন্ধ করা,54
132,閉,閉まる,しまる,বন্ধ হওয়া,54
133,閉,閉める,しめる,বন্ধ করা,54
134,案,案内,あんない,তথ্য / নির্দেশনা,55
135,案,案,あん,পরামর্শ / প্রস্তাব / পরিকল্পনা,55
136,内,家内,かない,স্ত্রী,56
137,内,以内,いない,মধ্যে,56
138,内,内側,うちがわ,ভেতরের দিক,56
139,内,国内,こくない,দেশীয় / দেশের অভ্যন্তরীণ,56
140,予,予定,よてい,পরিকল্পনা / সময়সূচি,57
141,予,予習,よしゅう,আগে থেকে পড়াশোনা করা,57
142,約,予約,よやく,অগ্রিম বুকিং / সংরক্ষণ,58
143,約,約～,やく～,প্রায় ...,58
144,煙,禁煙,きんえん,ধূমপান নিষেধ,59
145,煙,煙,けむり,ধোঁয়া,59
146,当,本当,ほんとう,সত্য,60
147,当,当〇〇,とう〇〇,এই 〇〇,60
148,当,当たる,あたる,আঘাত করা / জেতা,60
149,当,当たり前,あたりまえ,স্বাভাবিক / আশ্চর্য নয় এমন,60
150,全,全部,ぜんぶ,সব / সম্পূর্ণ,61
151,全,全席,ぜんせき,সব আসন,61
152,全,安全（な）,あんぜん（な）,নিরাপদ,61
153,客,客,きゃく,গ্রাহক,62
154,客,お客様,きゃくさま,গ্রাহক,62
155,様,様子,ようす,অবস্থা / পরিস্থিতি / চেহারা,63
156,様,〇〇様,〇〇さま,〇〇 মহাশয়/মহাশয়া (সম্মানসূচক),63
157,解,理解,りかい,বোঝা / উপলব্ধি,64
158,解,解答,かいとう,উত্তর,64
159,解,解説,かいせつ,ব্যাখ্যা,64
160,解,分解,ぶんかい,খুলে আলাদা করা,64
161,協,協力,きょうりょく,সহযোগিতা,65
162,願,願う,ねがう,কামনা করা / আশা করা,66
163,観,観光,かんこう,পর্যটন / দর্শন,67
164,観,観客,かんきゃく,দর্শক,67
165,園,動物園,どうぶつえん,চিড়িয়াখানা,68
166,港,空港,くうこう,বিমানবন্দর,69
167,港,〇〇港,〇〇こう,〇〇 বন্দর,69
168,港,港,みなと,বন্দর,69
169,遊,遊園地,ゆうえんち,বিনোদন পার্ক,70
170,遊,遊ぶ,あそぶ,খেলা করা / আনন্দ করা,70
171,美,美術館,びじゅつかん,শিল্প জাদুঘর,71
172,美,美人,びじん,সুন্দরী নারী,71
173,美,美しい,うつくしい,সুন্দর,71
174,術,美術,びじゅつ,চারুকলা,72
175,術,技術,ぎじゅつ,প্রযুক্তি / কৌশল,72
176,術,手術,しゅじゅつ,অস্ত্রোপচার,72
177,神,神社,じんじゃ,শিন্তো মন্দির,73
178,神,神経質（な）,しんけいしつ（な）,স্নায়বিক / অতিরিক্ত সংবেদনশীল,73
179,神,神様,かみさま,ঈশ্বর / দেবতা,73
180,寺,〇〇寺,〇〇じ,〇〇 মন্দির,74
181,寺,お寺,おてら,মন্দির,74
182,役,市役所,しやくしょ,সিটি অফিস / পৌরসভা কার্যালয়,75
183,役,役に立つ,やくにたつ,উপকারী হওয়া,75
184,役,役員,やくいん,কর্মকর্তা / সদস্য,75
185,郵,郵便,ゆうびん,ডাক,76
186,局,郵便局,ゆうびんきょく,ডাকঘর,77
187,局,薬局,やっきょく,ওষুধের দোকান,77
188,交,交番,こうばん,পুলিশ ফাঁড়ি,78
189,交,交通,こうつう,যাতায়াত / পরিবহন,78
190,交,交換,こうかん,বিনিময়,78
191,差,差,さ,পার্থক্য,79
192,差,差し出す,さしだす,জমা দেওয়া / এগিয়ে দেওয়া,79
193,差,差出人,さしだしにん,প্রেরক,79
194,点,交差点,こうさてん,চৌরাস্তা / সংযোগস্থল,80
195,点,点数,てんすう,নম্বর / স্কোর,80
196,点,～点,～てん,... নম্বর / পয়েন্ট,80
197,橋,歩道橋,ほどうきょう,পদচারী সেতু,81
198,橋,橋,はし,সেতু,81
199,公,公園,こうえん,পার্ক,82
200,受,受信,じゅしん,গ্রহণ করা,83
201,受,受験,じゅけん,প্রবেশিকা পরীক্ষা,83
202,受,受ける,うける,গ্রহণ করা / নেওয়া,83
203,付,付ける,つける,লাগানো / পরানো,84
204,付,片付ける,かたづける,গুছিয়ে রাখা,84
205,付,受付,うけつけ,অভ্যর্থনা / রিসেপশন,84
206,付,付く,つく,লেগে থাকা,84
207,科,科学,かがく,বিজ্ঞান,85
208,科,外科,げか,শল্যচিকিৎসা বিভাগ,85
209,科,内科,ないか,অভ্যন্তরীণ চিকিৎসা বিভাগ,85
210,科,教科書,きょうかしょ,পাঠ্যবই,85
211,鼻,耳鼻科,じびか,কান-নাক-গলা বিভাগ,86
212,鼻,鼻,はな,নাক,86
213,婦,婦人,ふじん,নারী / মহিলা,87
214,婦,産婦人科,さんふじんか,প্রসূতি ও স্ত্রীরোগ বিভাগ,87
215,婦,主婦,しゅふ,গৃহিণী,87
216,形,形式,けいしき,ধরন / আকৃতি,88
217,形,図形,ずけい,জ্যামিতিক চিত্র,88
218,形,整形外科,せいけいげか,অস্থি ও শারীরিক গঠন চিকিৎসা বিভাগ,88
219,形,人形,にんぎょう,পুতুল,88
220,形,形,かたち,আকার / আকৃতি,88
221,骨,骨折,こっせつ,হাড় ভাঙা,89
222,骨,骨,ほね,হাড়,89
223,折,右折,うせつ,ডানদিকে মোড়,90
224,折,左折,させつ,বামদিকে মোড়,90
225,折,折る,おる,ভাঙা / ভাঁজ করা,90
226,折,折り紙,おりがみ,কাগজ ভাঁজের জাপানি শিল্প,90
227,折,折れる,おれる,ভেঙে যাওয়া,90
228,困,困る,こまる,সমস্যায় পড়া / বিপদে পড়া,91
229,消,消防,しょうぼう,অগ্নিনির্বাপণ,92
230,消,消える,きえる,নিভে যাওয়া / অদৃশ্য হওয়া,92
231,消,消す,けす,নিভিয়ে দেওয়া / মুছে ফেলা,92
232,消,消しゴム,けしゴム,রাবার,92
233,防,予防,よぼう,প্রতিরোধ / সতর্কতা,93
234,防,防ぐ,ふせぐ,প্রতিরোধ করা,93
235,救,救急車,きゅうきゅうしゃ,অ্যাম্বুলেন্স,94
236,救,救う,すくう,রক্ষা করা,94
237,警,警官,けいかん,পুলিশ কর্মকর্তা,95
238,察,警察,けいさつ,পুলিশ,96
239,察,警察署,けいさつしょ,পুলিশ স্টেশন,96
240,故,事故,じこ,দুর্ঘটনা,97
241,故,故障,こしょう,ত্রুটি / বিকল হওয়া,97
242,故,故〇〇,こ〇〇,প্রয়াত 〇〇,97
243,伝,伝言,でんごん,বার্তা,98
244,伝,伝える,つたえる,জানানো / পৌঁছে দেওয়া,98
245,伝,手伝う,てつだう,সাহায্য করা,98
246,要,必要（な）,ひつよう（な）,প্রয়োজনীয়,99
247,要,要る,いる,প্রয়োজন হওয়া,99
248,要,重要（な）,じゅうよう（な）,গুরুত্বপূর্ণ,99
249,冷,冷房,れいぼう,শীতাতপ নিয়ন্ত্রণ / এসি,100
250,冷,冷たい,つめたい,ঠান্ডা,100
